"YEAR","ELECTION_E","ELECTION_F","PROVINCE_ID","PROVINCE_E","PROVINCE_F","GENDER_E","GENDER_F","AGE_GROUP_ID","AGE_GROUP_E","AGE_GROUP_F","VOTES","ELIGIBLE_ELECTORS","TURNOUT_ELIGIBLE_ELECTOR"
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",3386,5021,0.6744597322
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",2325,3339,0.6963327094
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",1096,1386,0.7909093955
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",9,"75 years and over","75 ans et plus",478,631,0.7573844767
2004,"GE 38, 2004","ÉG 38, 2004",60,"Yukon","Yukon","All genders","Tous les genres",10,"All ages","Tous les âges",12522,22569,0.554831849
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",1,"First time","1re fois",661,2170,0.304390119
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",2,"Not first time","2e fois ou plus",612,2183,0.2804587329
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",1273,4354,0.292321537
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",2692,7076,0.3804307164
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",3596,7398,0.4860963919
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",3536,5436,0.6505510373
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",1723,3259,0.5285573509
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",417,1120,0.3719915505
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",9,"75 years and over","75 ans et plus",184,635,0.2890847082
2004,"GE 38, 2004","ÉG 38, 2004",61,"Northwest Territories","Territoires du Nord-Ouest","All genders","Tous les genres",10,"All ages","Tous les âges",13420,29278,0.4583646424
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",1,"First time","1re fois",492,1851,0.2655689525
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",2,"Not first time","2e fois ou plus",432,1540,0.2804270782
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",923,3391,0.2723166711
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",1990,4795,0.414917034
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",1833,3925,0.4669495091
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",1337,2786,0.4799426888
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",850,1376,0.6179362261
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",376,517,0.7277893271
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",9,"75 years and over","75 ans et plus",85,178,0.4752949826
2004,"GE 38, 2004","ÉG 38, 2004",62,"Nunavut","Nunavut","All genders","Tous les genres",10,"All ages","Tous les âges",7394,16968,0.4357614333
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",1,"First time","1re fois",570361,1430534,0.3987051655
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",2,"Not first time","2e fois ou plus",475678,1375332,0.3458639924
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",1046039,2805866,0.3728043718
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",1746723,3939239,0.4434162936
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",2631104,4795278,0.5486864862
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",3013634,4539551,0.6638617111
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",2377669,3241242,0.7335672196
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",1602158,2108846,0.7597322377
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",9,"75 years and over","75 ans et plus",1208567,1879338,0.6430810362
2004,"GE 38, 2004","ÉG 38, 2004",99,"Canada","Canada","All genders","Tous les genres",10,"All ages","Tous les âges",13625894,23309360,0.5845674871
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",1,"First time","1re fois",2551,10368,0.2460075756
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",2,"Not first time","2e fois ou plus",8607,36839,0.2336318575
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",11157,47207,0.2363499172
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",20888,62814,0.3325423458
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",44737,81059,0.551900995
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",57089,86573,0.6594283785
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",48350,66628,0.7256727666
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",29725,38589,0.7702854319
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",9,"75 years and over","75 ans et plus",17015,30162,0.564133982
2006,"GE 39, 2006","ÉG 39, 2006",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",10,"All ages","Tous les âges",228961,413032,0.5543420365
2006,"GE 39, 2006","ÉG 39, 2006",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",1,"First time","1re fois",1628,3009,0.5412000787
2006,"GE 39, 2006","ÉG 39, 2006",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",2,"Not first time","2e fois ou plus",5521,10545,0.5235197752
2006,"GE 39, 2006","ÉG 39, 2006",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",7149,13554,0.5274448182
2006,"GE 39, 2006","ÉG 39, 2006",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",10316,17293,0.5965452762
2006,"GE 39, 2006","ÉG 39, 2006",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",14351,19148,0.7494896955
2006,"GE 39, 2006","ÉG 39, 2006",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",17344,20724,0.8368867173
2006,"GE 39, 2006","ÉG 39, 2006",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",13918,16723,0.8322482521
